id,title,color,order,isProtected,updated_at,created_at
1,done,#22c55e,0,true,2025-06-18T19:58:00.000Z,2025-06-18T07:37:50.000Z
2,Darbs,#ffffff,1,false,2025-06-18T19:59:22.000Z,2025-06-18T07:54:18.000Z
3,Artūrs,#ffae00,2,false,2025-06-19T09:21:43.000Z,2025-06-18T10:01:41.000Z
4,Uz druku,#ff8624,3,false,2025-06-19T09:21:43.000Z,2025-06-18T10:01:41.000Z
5,Presējam,#ff4000,4,false,2025-07-03T10:52:10.000Z,2025-06-18T10:01:41.000Z
6,Vladislavs,#00c8ff,5,false,2025-06-18T20:02:38.000Z,2025-06-18T10:01:41.000Z
7,Lielvārde,#00c8ff,6,false,2025-06-18T19:58:00.000Z,2025-06-18T10:01:41.000Z
8,Ikšķile,#00c8ff,7,false,2025-06-18T19:58:00.000Z,2025-06-18T10:01:41.000Z
9,Pie mums,#0084ff,8,false,2025-06-18T19:58:00.000Z,2025-06-18T10:01:41.000Z
10,FastPrint,#0040ff,9,false,2025-06-18T19:58:00.000Z,2025-06-18T10:01:41.000Z
11,Decallab,#ffc800,10,false,2025-07-03T10:53:04.000Z,2025-06-18T10:01:41.000Z
12,Parādnieki,#ff0000,11,false,2025-07-03T10:52:53.000Z,2025-06-18T10:01:41.000Z
13,Gatavs Atdošanai,#00ff04,12,false,2025-07-03T10:52:31.000Z,2025-06-18T10:01:41.000Z