id,taskId,productId,count,updated_at,created_at
185,34,6,8,2025-07-09T07:06:46.000Z,2025-07-09T07:06:46.000Z
215,22,31,48,2025-07-10T11:07:02.000Z,2025-07-10T11:07:02.000Z
217,64,34,25,2025-07-10T11:08:46.000Z,2025-07-10T11:08:46.000Z
220,56,2,1,2025-07-10T11:09:17.000Z,2025-07-10T11:09:17.000Z
222,58,6,10,2025-07-10T11:10:15.000Z,2025-07-10T11:10:15.000Z
225,71,11,55,2025-07-10T11:10:43.000Z,2025-07-10T11:10:43.000Z
226,60,6,4,2025-07-10T11:11:12.000Z,2025-07-10T11:11:12.000Z
227,12,35,4,2025-07-10T11:11:33.000Z,2025-07-10T11:11:33.000Z
228,12,34,4,2025-07-10T11:11:33.000Z,2025-07-10T11:11:33.000Z
229,8,8,1,2025-07-10T11:12:04.000Z,2025-07-10T11:12:04.000Z
246,78,11,12,2025-07-10T13:03:36.000Z,2025-07-10T13:03:36.000Z
251,80,11,61,2025-07-14T07:16:14.000Z,2025-07-14T07:16:14.000Z
258,25,55,1,2025-07-14T09:30:22.000Z,2025-07-14T09:30:22.000Z
274,96,35,1,2025-07-17T11:09:15.000Z,2025-07-17T11:09:15.000Z
275,96,34,2,2025-07-17T11:09:15.000Z,2025-07-17T11:09:15.000Z
321,115,11,10,2025-07-23T09:13:49.000Z,2025-07-23T09:13:49.000Z
376,163,2,4,2025-08-22T08:19:11.000Z,2025-08-22T08:19:11.000Z
377,163,3,2,2025-08-22T08:19:11.000Z,2025-08-22T08:19:11.000Z
378,162,2,6,2025-08-22T08:24:35.000Z,2025-08-22T08:24:35.000Z
379,162,3,4,2025-08-22T08:24:35.000Z,2025-08-22T08:24:35.000Z
380,162,11,2,2025-08-22T08:24:35.000Z,2025-08-22T08:24:35.000Z
386,166,51,15,2025-08-22T08:46:47.000Z,2025-08-22T08:46:47.000Z
387,166,46,15,2025-08-22T08:46:47.000Z,2025-08-22T08:46:47.000Z
406,181,8,6,2025-08-27T13:19:51.000Z,2025-08-27T13:19:51.000Z
467,219,2,2,2025-09-19T09:52:16.000Z,2025-09-19T09:52:16.000Z
468,219,3,2,2025-09-19T09:52:16.000Z,2025-09-19T09:52:16.000Z
473,168,2,24,2025-09-29T06:50:35.000Z,2025-09-29T06:50:35.000Z
474,168,3,12,2025-09-29T06:50:35.000Z,2025-09-29T06:50:35.000Z
475,168,11,12,2025-09-29T06:50:35.000Z,2025-09-29T06:50:35.000Z
480,167,2,165,2025-09-29T08:44:41.000Z,2025-09-29T08:44:41.000Z
481,167,3,96,2025-09-29T08:44:41.000Z,2025-09-29T08:44:41.000Z
497,256,13,36,2025-10-01T09:34:26.000Z,2025-10-01T09:34:26.000Z
498,256,11,36,2025-10-01T09:34:26.000Z,2025-10-01T09:34:26.000Z
518,262,11,16,2025-10-08T07:04:26.000Z,2025-10-08T07:04:26.000Z
519,262,13,16,2025-10-08T07:04:26.000Z,2025-10-08T07:04:26.000Z
644,340,28,15,2025-12-01T10:17:59.000Z,2025-12-01T10:17:59.000Z
654,282,2,15,2025-12-03T09:46:32.000Z,2025-12-03T09:46:32.000Z
676,368,28,38,2026-01-15T09:55:05.000Z,2026-01-15T09:55:05.000Z
702,376,11,24,2026-01-22T08:31:31.000Z,2026-01-22T08:31:31.000Z
703,376,13,24,2026-01-22T08:31:31.000Z,2026-01-22T08:31:31.000Z
708,371,11,13,2026-01-27T07:30:20.000Z,2026-01-27T07:30:20.000Z
719,391,28,10,2026-02-03T10:47:46.000Z,2026-02-03T10:47:46.000Z
720,388,2,2,2026-02-06T12:23:00.000Z,2026-02-06T12:23:00.000Z
721,388,3,2,2026-02-06T12:23:00.000Z,2026-02-06T12:23:00.000Z
722,291,65,34,2026-02-09T13:45:09.000Z,2026-02-09T13:45:09.000Z
725,404,6,7,2026-02-12T08:12:33.000Z,2026-02-12T08:12:33.000Z
726,405,46,1,2026-02-13T08:40:20.000Z,2026-02-13T08:40:20.000Z